abstract,authorids,authors,conflicts,keywords,paper_id,paperhash,title,tl;dr,decision,forum_link,pdf_link
"Recent advances in machine learning have brought the field closer to computational creativity research. From a creativity research point of view, this offers the potential to study creativity in relationship with knowledge acquisition. From a machine learning perspective, however, several aspects of creativity need to be better defined to allow the machine learning community to develop and test hypotheses in a systematic way. We propose an actionable definition of creativity as the generation of out-of-distribution novelty. We assess several  metrics designed for evaluating the quality of generative models on this new task. We also propose a new experimental setup. Inspired by the usual held-out validation, we hold out entire classes for evaluating the generative potential of models. The goal of the novelty generator is then to use training classes to build a model that can generate objects from future (hold-out) classes, unknown at training time - and thus, are novel with respect to the knowledge the model incorporates. Through extensive experiments on various types of generative models, we are able to find architectures and hyperparameter combinations which lead to out-of-distribution novelty.","mehdicherti@gmail.com, balazskegl@gmail.com, akin.kazakci@mines-paristech.fr","Mehdi Cherti, Balázs Kégl, Akın Kazakçı",lri.fr,"Deep learning, Unsupervised Learning",ByEPMj5el,cherti|outofclass_novelty_generation_an_experimental_foundation,Out-of-class novelty generation: an experimental foundation,,Reject,https://openreview.net/forum?id=ByEPMj5el&noteId=ByEPMj5el,https://openreview.net/pdf?id=ByEPMj5el
"Transfer and multi-task learning have traditionally focused on either a single source-target pair or very few, similar tasks. Ideally, the linguistic levels of morphology, syntax and semantics would benefit each other by being trained in a single model. We introduce such a joint many-task model together with a strategy for successively growing its depth to solve increasingly complex tasks. All layers include shortcut connections to both word representations and lower-level task predictions. We use a simple regularization term to allow for optimizing all model weights to improve one task's loss without exhibiting catastrophic interference of the other tasks. Our single end-to-end trainable model obtains state-of-the-art results on chunking, dependency parsing, semantic relatedness and textual entailment. It also performs competitively on POS tagging. Our dependency parsing layer relies only on a single feed-forward pass and does not require a beam search.","hassy@logos.t.u-tokyo.ac.jp, cxiong@salesforce.com, tsuruoka@logos.t.u-tokyo.ac.jp, rsocher@salesforce.com","Kazuma Hashimoto, Caiming Xiong, Yoshimasa Tsuruoka, Richard Socher","logos.t.u-tokyo.ac.jp, salesforce.com","Natural language processing, Deep learning",SJZAb5cel,hashimoto|a_joint_manytask_model_growing_a_neural_network_for_multiple_nlp_tasks,A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks,A single deep multi-task learning model for five different NLP tasks.,Reject,https://openreview.net/forum?id=SJZAb5cel&noteId=SJZAb5cel,https://openreview.net/pdf?id=SJZAb5cel
"Although neural networks are well suited for sequential transfer learning tasks, the catastrophic forgetting problem hinders proper integration of prior knowledge. In this work, we propose a solution to this problem by using a multi-task objective based on the idea of distillation and a mechanism that directly penalizes forgetting at the shared representation layer during the knowledge integration phase of training. We demonstrate our approach on a Twitter domain sentiment analysis task with sequential knowledge transfer from four related tasks.  We show that our technique outperforms networks fine-tuned to the target task. Additionally, we show both through empirical evidence and examples that it does not forget useful knowledge from the source task that is forgotten during standard fine-tuning. Surprisingly, we find that first distilling a human made rule based sentiment engine into a recurrent neural network and then integrating the knowledge with the target task data leads to a substantial gain in generalization performance. Our experiments demonstrate the power of multi-source transfer techniques in practical text analytics problems when paired with distillation. In particular, for the SemEval 2016 Task 4 Subtask A (Nakov et al., 2016) dataset we surpass the state of the art established during the competition with a comparatively simple model architecture that is not even competitive when trained on only the labeled task specific data.","mdriemer@us.ibm.com, ekhabiri@us.ibm.com, rgoodwin@us.ibm.com","Matthew Riemer, Elham Khabiri, Richard Goodwin",ibm.com,"Deep learning, Transfer Learning, Natural language processing",HyenWc5gx,riemer|representation_stability_as_a_regularizer_for_improved_text_analytics_transfer_learning,Representation Stability as a Regularizer for Improved Text Analytics Transfer Learning,We propose a novel general purpose regularizer to address catastrophic forgetting in neural network sequential transfer learning.,Reject,https://openreview.net/forum?id=HyenWc5gx&noteId=HyenWc5gx,https://openreview.net/pdf?id=HyenWc5gx
"The Neural GPU is a recent model that can learn algorithms such as multi-digit binary addition and binary multiplication in a way that generalizes to inputs of arbitrary length.  We show that there are two simple ways of improving the performance of the Neural GPU: by carefully designing a curriculum, and by increasing model size.  The latter requires a memory efficient implementation, as a naive implementation of the Neural GPU is memory intensive.  We find that these techniques increase the set of algorithmic problems that can be solved by the Neural GPU: we have been able to learn to perform all the arithmetic operations (and generalize to arbitrarily long numbers) when the arguments are given in the decimal representation (which, surprisingly, has not been possible before). We have also been able to train the Neural GPU to evaluate long arithmetic expressions with multiple operands that require respecting the  precedence order of the operands, although these have succeeded only in their binary representation, and not with perfect accuracy.

In addition, we gain insight into the Neural GPU by investigating its failure modes.  We find that Neural GPUs that correctly generalize to arbitrarily long numbers still fail to compute the correct answer on highly-symmetric, atypical inputs: for  example, a Neural GPU that achieves near-perfect generalization on decimal multiplication of up to 100-digit long numbers can fail on $000000\dots002 \times 000000\dots002$ while succeeding at $2 \times 2$.  These failure modes are reminiscent of adversarial examples.","ecprice@cs.utexas.edu, woj@openai.com, ilyasu@openai.com","Eric Price, Wojciech Zaremba, Ilya Sutskever","nyu.edu, facebook.com, fb.com, google.com, openai.com, cs.utexas.edu",,ryjp1c9xg,price|extensions_and_limitations_of_the_neural_gpu,Extensions and Limitations of the Neural GPU,,Reject,https://openreview.net/forum?id=ryjp1c9xg&noteId=ryjp1c9xg,https://openreview.net/pdf?id=ryjp1c9xg
"Deploying deep neural networks on mobile devices is a challenging task due to computation complexity and memory intensity. Existing works solve this problem by reducing model size using weight approximation methods based on dimension reduction (i.e., SVD, Tucker decomposition and Quantization). However, the execution speed of these compressed models are still far below the real-time processing requirement of mobile services. To address this limitation, we propose a novel acceleration framework: DeepRebirth by exploring the deep learning model parameter sparsity through merging the parameter-free layers with their neighbor convolution layers to a single dense layer. The design of DeepRebirth is motivated by the key observation: some layers (i.e., normalization and pooling) in deep learning models actually consume a large portion of computational time even few learned parameters are involved, and acceleration of these layers has the potential to improve the processing speed significantly. Essentially, the functionality of several merged layers is replaced by the new dense layer – rebirth layer in DeepRebirth. In order to preserve the same functionality, the rebirth layer model parameters are re-trained to be functionality equivalent to the original several merged layers. The extensive experiments performed on ImageNet using several popular mobile devices demonstrate that DeepRebirth is not only providing huge speed-up in model deployment and significant memory saving but also maintaining the model accuracy, i.e., 3x-5x speed-up and energy saving on GoogLeNet with only 0.4% accuracy drop on top-5 categorization in ImageNet. Further, by combining with other model compression techniques, DeepRebirth offers an average of 65ms model forwarding time on each image using Samsung Galaxy S6 with only 2.4% accuracy drop. In addition, 2.5x run-time memory saving is achieved with rebirth layers.","dal312@lehigh.edu, visionxiaolong@gmail.com, doogkong@gmail.com","Dawei Li, Xiaolong Wang, Deguang Kong, Mooi Choo Chuah","lehigh.edu, samsung.com",,SkwSJ99ex,li|deeprebirth_a_general_approach_for_accelerating_deep_neural_network_execution_on_mobile_devices,DeepRebirth: A General Approach for Accelerating Deep Neural Network Execution on Mobile Devices,,Reject,https://openreview.net/forum?id=SkwSJ99ex&noteId=SkwSJ99ex,https://openreview.net/pdf?id=SkwSJ99ex
"The detection and identification of extreme weather events in large scale climate simulations is an important problem for risk management, informing governmental policy decisions and advancing our basic understanding of the climate system.
Recent work has shown that fully supervised convolutional neural networks (CNNs) can yield acceptable accuracy for classifying well-known types of extreme weather events when large amounts of labeled data are available. However, there are many different types of spatially localized climate patterns of interest (including hurricanes, extra-tropical cyclones, weather fronts, blocking events, etc.)
found in simulation data for which labeled data is not available at large scale for all simulations of interest.
We present a multichannel spatiotemporal encoder-decoder CNN architecture for semi-supervised bounding box prediction and exploratory data analysis.
This architecture is designed to fully model multi-channel simulation data, temporal dynamics and unlabelled data within a reconstruction and prediction framework so as to improve the detection of a wide range of extreme weather events. 
Our architecture can be viewed as a 3D convolutional autoencoder with an additional modified one-pass bounding box regression loss. 
We demonstrate that our approach is able to leverage temporal information and unlabelled data to improve localization of extreme weather events. Further, we explore the representations learned by our model in order to better understand this important data, and facilitate further work in understanding and mitigating the effects of climate change.","eracah@lbl.gov, christopher.beckham@polymtl.ca, tegan.maharaj@polymtl.ca, prabhat@lbl.gov, christopher.pal@polymtl.ca","Evan Racah, Christopher Beckham, Tegan Maharaj, Prabhat, Christopher Pal","lbl.gov, polymtl.ca","Semi-Supervised Learning, Applications, Computer vision",SJ_QCYqle,racah|semisupervised_detection_of_extreme_weather_events_in_large_climate_datasets,Semi-Supervised Detection of Extreme Weather Events in Large Climate Datasets,Semi-supervised 3D CNN's improve bounding box detection of weather events in climate simulations compared to supervised approaches.,Reject,https://openreview.net/forum?id=SJ_QCYqle&noteId=SJ_QCYqle,https://openreview.net/pdf?id=SJ_QCYqle
"This paper introduces Graph Convolutional Recurrent Network (GCRN), a deep learning model able to predict structured sequences of data. Precisely, GCRN is a generalization of classical recurrent neural networks (RNN) to data structured by any arbitrary graph. Such structured sequences can be series of frames in videos, spatio-temporal measurements on a network of sensors, or random walks on a vocabulary graph for natural language modeling.The proposed model combines convolutional neural networks (CNN) on graphs to identify spatial structures and RNN to find dynamic patterns. We study two possible architectures of GCRN, and apply the models to two practical problems: predicting moving MNIST data, and modeling natural language with the Penn Treebank dataset. Experiments show that exploiting simultaneously graph spatial and dynamic information about data can improve both precision and learning speed.","youngjoo.seo@epfl.ch, michael.defferrard@epfl.ch, pierre.vandergheynst@epfl.ch, xavier.bresson@gmail.com","Youngjoo Seo, Michaël Defferrard, Pierre Vandergheynst, Xavier Bresson","epfl.ch, ntu.sg",Structured prediction,S19eAF9ee,seo|structured_sequence_modeling_with_graph_convolutional_recurrent_networks,Structured Sequence Modeling with Graph Convolutional Recurrent Networks,This paper introduces a neural network to model graph-structured sequences,Reject,https://openreview.net/forum?id=S19eAF9ee&noteId=S19eAF9ee,https://openreview.net/pdf?id=S19eAF9ee
"This paper proposes dynamic chunk reader (DCR), an end-to-end neural reading comprehension (RC) model that is able to extract and rank a set of answer candidates from a given document to answer questions. DCR is able to predict answers of variable lengths, whereas previous neural RC models primarily focused on predicting single tokens or entities. DCR encodes a document and an input question with recurrent neural networks, and then applies a word-by-word attention mechanism to acquire question-aware representations for the document, followed by the generation of chunk representations and a ranking module to propose the top-ranked chunk as the answer. Experimental results show that DCR could achieve a 66.3% Exact match and 74.7% F1 score on the Stanford Question Answering Dataset.","yu@us.ibm.com, zhangwei@us.ibm.com, zhou@us.ibm.com, kshasan@us.ibm.com, yum@us.ibm.com, bingxia@us.ibm.com","Yang Yu, Wei Zhang, Bowen Zhou, Kazi Hasan, Mo Yu, Bing Xiang",ibm.com,"Natural language processing, Deep learning, Supervised Learning",r1te3Fqel,yu|endtoend_answer_chunk_extraction_and_ranking_for_reading_comprehension,End-to-End Answer Chunk Extraction and Ranking for Reading Comprehension,,Reject,https://openreview.net/forum?id=r1te3Fqel&noteId=r1te3Fqel,https://openreview.net/pdf?id=r1te3Fqel
"The contribution of each sample during model training varies across training iterations and the model's parameters. We define the concept of sample importance as the change in parameters induced by a sample. In this paper, we explored the sample importance in training deep neural networks using stochastic gradient descent. We found that ""easy"" samples -- samples that are correctly and confidently classified at the end of the training -- shape parameters closer to the output, while the ""hard"" samples impact parameters closer to the input to the network. Further, ""easy"" samples are relevant in the early training stages, and ""hard"" in the late training stage. Further, we show that constructing batches which contain samples of comparable difficulties tends to be a poor strategy compared to maintaining a mix of both hard and easy samples in all of the batches. Interestingly, this contradicts some of the results on curriculum learning which suggest that ordering training examples in terms of difficulty can lead to better performance.","tgao@cs.unc.edu, vjojic@cs.unc.edu","Tianxiang Gao, Vladimir Jojic",cs.unc.edu,"Deep learning, Supervised Learning",r1IRctqxg,gao|sample_importance_in_training_deep_neural_networks,Sample Importance in Training Deep Neural Networks,,Reject,https://openreview.net/forum?id=r1IRctqxg&noteId=r1IRctqxg,https://openreview.net/pdf?id=r1IRctqxg
"In this paper, we propose epitomic variational autoencoder (eVAE), a probabilistic generative model of high dimensional data. eVAE is composed of a number of sparse variational autoencoders called `epitome' such that each epitome partially shares its encoder-decoder architecture with other epitomes in the composition. We show that the proposed model greatly overcomes the common problem in variational autoencoders (VAE) of model over-pruning. We substantiate that eVAE is efficient in using its model capacity and generalizes better than VAE, by presenting qualitative and quantitative results on MNIST and TFD datasets.","serena@cs.stanford.edu, akannan@fb.com, ynd@fb.com, feifeili@cs.stanford.edu","Serena Yeung, Anitha Kannan, Yann Dauphin, Li Fei-Fei","stanford.edu, fb.com, montreal.ca",Unsupervised Learning,Bk3F5Y9lx,yeung|epitomic_variational_autoencoders,Epitomic Variational Autoencoders,We introduce an extension of variational autoencoders that learns multiple shared latent subspaces to address the issue of model capacity underutilization.,Reject,https://openreview.net/forum?id=Bk3F5Y9lx&noteId=Bk3F5Y9lx,https://openreview.net/pdf?id=Bk3F5Y9lx
"Deep generative models provide a powerful and flexible means to learn complex distributions over data by incorporating neural networks into latent-variable models. Variational approaches to training such models introduce a probabilistic encoder that casts data, typically unsupervised, into an entangled and unstructured representation space. While unsupervised learning is often desirable, sometimes even necessary, when we lack prior knowledge about what to represent, being able to incorporate domain knowledge in characterising certain aspects of variation in the data can often help learn better disentangled representations. Here, we introduce a new formulation of semi-supervised learning in variational autoencoders that allows precisely this. It permits flexible specification of probabilistic encoders as directed graphical models via a stochastic computation graph, containing both continuous and discrete latent variables, with conditional distributions parametrised by neural networks. We demonstrate how the provision of structure, along with a few labelled examples indicating plausible values for some components of the latent space, can help quickly learn disentangled representations. We then evaluate its ability to do so, both qualitatively by exploring its generative capacity, and quantitatively by using the disentangled representation to perform classification, on a variety of models and datasets.","nsid@robots.ox.ac.uk, brooks@robots.ox.ac.uk, alban@robots.ox.ac.uk, j.vandemeent@northeastern.edu, fwood@robots.ox.ac.uk, ngoodman@stanford.edu, pkohli@microsoft.com, philip.torr@eng.ox.ac.uk","N. Siddharth, Brooks Paige, Alban Desmaison, Jan-Willem van de Meent, Frank Wood, Noah D. Goodman, Pushmeet Kohli, Philip H.S. Torr","microsoft.com, stanford.edu, robots.ox.ac.uk, northeastern.edu, eng.ox.ac.uk","Semi-Supervised Learning, Deep learning, Computer vision",HJtN5K9gx,siddharth|learning_disentangled_representations_in_deep_generative_models,Learning Disentangled Representations in Deep Generative Models,,Reject,https://openreview.net/forum?id=HJtN5K9gx&noteId=HJtN5K9gx,https://openreview.net/pdf?id=HJtN5K9gx
"Deep learning consists in training neural networks to perform computations that sequentially unfold in many steps over a time dimension or an intrinsic depth dimension. For large depths, this is usually accomplished by specialized network architectures that are designed to mitigate the vanishing gradient problem, e.g. LSTMs, GRUs, Highway Networks and Deep Residual Networks, which are based on a single structural principle: the state passthrough. We observe that these ""Passthrough Networks"" architectures enable the decoupling of the network state size from the number of parameters of the network, a possibility that is exploited in some recent works but not thoroughly explored. In this work we propose simple, yet effective, low-rank and low-rank plus diagonal matrix parametrizations for Passthrough Networks which exploit this decoupling property, reducing the data complexity and memory requirements of the network while preserving its memory capacity. We present competitive experimental results on several tasks, including a near state of the art result on sequential randomly-permuted MNIST classification, a hard task on natural data.",amiceli@inf.ed.ac.uk,Antonio Valerio Miceli Barone,"ed.ac.uk, unipi.it",Deep learning,rkaRFYcgl,barone|lowrank_passthrough_neural_networks,Low-rank passthrough neural networks,"Describe low-rank and low-rank plus diagonal parametrizations for Highway Neural Networks, GRUs and other kinds of passthrough neural networks. Present competitive experimental results.",Reject,https://openreview.net/forum?id=rkaRFYcgl&noteId=rkaRFYcgl,https://openreview.net/pdf?id=rkaRFYcgl
"Deep generative models such as deep latent Gaussian models (DLGMs) are powerful and popular density estimators. However, they have been applied almost exclusively to dense data such as images; DLGMs are rarely applied to sparse, high-dimensional integer data such as word counts or product ratings. One reason is that the standard training procedures find poor local optima when applied to such data. We propose two techniques that alleviate this problem, significantly improving our ability to fit DLGMs to sparse, high-dimensional data. Having fit these models, we are faced with another challenge: how to use and interpret the representation that we have learned? To that end, we propose a method that extracts distributed representations of features via a simple linearization of the model.","rahul@cs.nyu.edu, matthoffm@adobe.com","Rahul G. Krishnan, Matthew Hoffman","cs.nyu.edu, adobe.com, columbia.edu","Unsupervised Learning, Deep learning",r1Chut9xl,krishnan|inference_and_introspection_in_deep_generative_models_of_sparse_data,Inference and Introspection in Deep Generative Models of Sparse Data,"We study two techniques to improve learning in deep generative models on sparse, high-dimensional text data. We also propose an algorithmic tool to visualize and introspect arbitrarily deep learned models.",Reject,https://openreview.net/forum?id=r1Chut9xl&noteId=r1Chut9xl,https://openreview.net/pdf?id=r1Chut9xl
"Recent studies on knowledge base completion, the task of recovering missing relationships based on recorded relations, demonstrate the importance of learning embeddings from multi-step relations. However, due to the size of knowledge bases, learning multi-step relations directly on top of observed instances could be costly. In this paper, we propose Implicit ReasoNets (IRNs), which is designed to perform large-scale inference implicitly through a search controller and shared memory. Unlike previous work, IRNs use training data to learn to perform multi-step inference through the shared memory, which is also jointly updated during training. While the inference procedure is not operating on top of observed instances for IRNs, our proposed model outperforms all previous approaches on the popular FB15k benchmark by more than 5.7%.","yeshen@microsoft.com, pshuang@microsoft.com, minchang@microsoft.com, jfgao@microsoft.com","Yelong Shen*, Po-Sen Huang*, Ming-Wei Chang, Jianfeng Gao",microsoft.com,"Deep learning, Reinforcement Learning",r1PRvK9el,shen|implicit_reasonet_modeling_largescale_structured_relationships_with_shared_memory,Implicit ReasoNet: Modeling Large-Scale Structured Relationships with Shared Memory,,Reject,https://openreview.net/forum?id=r1PRvK9el&noteId=r1PRvK9el,https://openreview.net/pdf?id=r1PRvK9el
"This paper presents a framework to tackle combinatorial optimization problems using neural networks and reinforcement learning. We focus on the traveling salesman problem (TSP) and train a recurrent neural network that, given a set of city coordinates, predicts a distribution over different city permutations. Using negative tour length as the reward signal, we optimize the parameters of the recurrent neural network using a policy gradient method. We compare learning the network parameters on a set of training graphs against learning them on individual test graphs. Without much engineering and heuristic designing, Neural Combinatorial Optimization achieves close to optimal results on 2D Euclidean graphs with up to 100 nodes. Applied to the KnapSack, another NP-hard problem, the same method obtains optimal solutions for instances with up to 200 items. These results, albeit still far from state-of-the-art, give insights into how neural networks can be used as a general tool for tackling combinatorial optimization problems.","ibello@google.com, hyhieu@google.com, qvl@google.com, mnorouzi@google.com, bengio@google.com","Irwan Bello*, Hieu Pham*, Quoc V. Le, Mohammad Norouzi, Samy Bengio",google.com,"Reinforcement Learning, Deep learning",rJY3vK9eg,bello|neural_combinatorial_optimization_with_reinforcement_learning,Neural Combinatorial Optimization with Reinforcement Learning,This paper presents a framework to tackle combinatorial optimization problems using neural networks and reinforcement learning.,Reject,https://openreview.net/forum?id=rJY3vK9eg&noteId=rJY3vK9eg,https://openreview.net/pdf?id=rJY3vK9eg
"This paper presents a simple end-to-end model for speech recognition, combining a convolutional network based acoustic model and a graph decoding. It is trained to output letters, with transcribed speech, without the need for force alignment of phonemes. We introduce an automatic segmentation criterion for training from sequence annotation without alignment that is on par with CTC (Graves et al., 2006) while being simpler. We show competitive results in word error rate on the Librispeech corpus (Panayotov et al., 2015) with MFCC features, and promising results from raw waveform.","locronan@fb.com, cpuhrsch@fb.com, gab@fb.com","Ronan Collobert, Christian Puhrsch, Gabriel Synnaeve",fb.com,"Deep learning, Speech, Structured prediction",BkUDvt5gg,collobert|wav2letter_an_endtoend_convnetbased_speech_recognition_system,Wav2Letter: an End-to-End ConvNet-based Speech Recognition System,We propose convnet models and new sequence criterions for training end-to-end letter-based speech systems.,Reject,https://openreview.net/forum?id=BkUDvt5gg&noteId=BkUDvt5gg,https://openreview.net/pdf?id=BkUDvt5gg
"Multivariate time series data in practical applications, such as health care, geoscience, and biology, are characterized by a variety of missing values. In time series prediction and other related tasks, it has been noted that missing values and their missing patterns are often correlated with the target labels, a.k.a., informative missingness. There is very limited work on exploiting the missing patterns for effective imputation and improving prediction performance. In this paper, we develop novel deep learning models, namely GRU-D, as one of the early attempts. GRU-D is based on Gated Recurrent Units (GRU), a state-of-the-art recurrent neural network. It takes two representations of missing patterns, i.e., masking and time interval, and effectively incorporates them into a deep model architecture so that it not only captures the long-term temporal dependencies in time series, but also utilizes the missing patterns to achieve better prediction results. Experiments of time series classification tasks on real-world clinical datasets (MIMIC-III, PhysioNet) and synthetic datasets demonstrate that our models achieve state-of-the-art performance and provides useful insights for better understanding and utilization of missing values in time series analysis.","zche@usc.edu, spurusho@usc.edu, kyunghyun.cho@nyu.edu, dsontag@cs.nyu.edu, yanliu.cs@usc.edu","Zhengping Che, Sanjay Purushotham, Kyunghyun Cho, David Sontag, Yan Liu","usc.edu, nyu.edu, cs.nyu.edu",Deep learning,BJC8LF9ex,che|recurrent_neural_networks_for_multivariate_time_series_with_missing_values,Recurrent Neural Networks for Multivariate Time Series with Missing Values,,Reject,https://openreview.net/forum?id=BJC8LF9ex&noteId=BJC8LF9ex,https://openreview.net/pdf?id=BJC8LF9ex
"Classifying question sentences into their corresponding categories is an important task with wide applications, for example in many websites' FAQ sections. 
However, traditional question classification techniques do not fully utilize the well-prepared answer data which has great potential for improving question sentence representations which could lead to better classification performance. In order to encode answer information into question representation, we first introduce novel group sparse autoencoders which could utilize the group information in the answer set to refine question representation. We then propose a new group sparse convolutional neural network which could naturally learn the question representation with respect to their corresponding answers by implanting the group sparse autoencoders into the traditional convolutional neural network. The proposed model show significant improvements over strong baselines on four datasets.","mam@oregonstate.edu, liang.huang@oregonstate.edu, bingxia@us.ibm.com, zhou@us.ibm.com","Mingbo Ma, Liang Huang, Bing Xiang, Bowen Zhou","oregonstate.edu, us.ibm.com",,BJFG8Yqxl,ma|group_sparse_cnns_for_question_sentence_classification_with_answer_sets,Group Sparse CNNs for Question Sentence Classification with Answer Sets,,Reject,https://openreview.net/forum?id=BJFG8Yqxl&noteId=BJFG8Yqxl,https://openreview.net/pdf?id=BJFG8Yqxl
"We present NewsQA, a challenging machine comprehension dataset of over 100,000 question-answer pairs. Crowdworkers supply questions and answers based on a set of over 10,000 news articles from CNN, with answers consisting in spans of text from the corresponding articles. We collect this dataset through a four- stage process designed to solicit exploratory questions that require reasoning. A thorough analysis confirms that NewsQA demands abilities beyond simple word matching and recognizing entailment. We measure human performance on the dataset and compare it to several strong neural models. The performance gap between humans and machines (25.3% F1) indicates that significant progress can be made on NewsQA through future research. The dataset is freely available at datasets.maluuba.com/NewsQA.","adam.trischler@maluuba.com, tong.wang@maluuba.com, eric.yuan@maluuba.com, justin.harris@maluuba.com, alessandro.sordoni@maluuba.com, phil.bachman@maluuba.com, k.suleman@maluuba.com","Adam Trischler, Tong Wang, Xingdi Yuan, Justin Harris, Alessandro Sordoni, Philip Bachman, Kaheer Suleman",maluuba.com,"Natural language processing, Deep learning",ry3iBFqgl,trischler|newsqa_a_machine_comprehension_dataset,NEWSQA: A MACHINE COMPREHENSION DATASET,Crowdsourced QA dataset with natural language questions and multi-word answers,Reject,https://openreview.net/forum?id=ry3iBFqgl&noteId=ry3iBFqgl,https://openreview.net/pdf?id=ry3iBFqgl
"In this paper we study the problem of answering cloze-style questions over documents. Our model, the Gated-Attention (GA) Reader, integrates a multi-hop architecture with a novel attention mechanism, which is based on multiplicative interactions between the query embedding and the intermediate states of a recurrent neural network document reader. This enables the reader to build query-specific representations of tokens in the document for accurate answer selection. The GA Reader obtains state-of-the-art results on three benchmarks for this task--the CNN \& Daily Mail news stories and the Who Did What dataset. The effectiveness of multiplicative interaction is demonstrated by an ablation study, and by comparing to alternative compositional operators for implementing the gated-attention.","bdhingra@cs.cmu.edu, hanxiaol@cs.cmu.edu, zhiliny@cs.cmu.edu, wcohen@cs.cmu.edu, rsalakhu@cs.cmu.edu","Bhuwan Dhingra, Hanxiao Liu, Zhilin Yang, William W. Cohen, Ruslan Salakhutdinov",cs.cmu.edu,"Natural language processing, Deep learning, Supervised Learning",HkcdHtqlx,dhingra|gatedattention_readers_for_text_comprehension,Gated-Attention Readers for Text Comprehension,,Reject,https://openreview.net/forum?id=HkcdHtqlx&noteId=HkcdHtqlx,https://openreview.net/pdf?id=HkcdHtqlx
"Code completion, an essential part of modern software development, yet can bechallenging for dynamically typed programming languages.  In this paper we ex-plore the use of neural network techniques to automatically learn code completionfrom  a  large  corpus  of  dynamically  typed  JavaScript  code.   We  show  differentneural networks that leverage not only token level information but also structuralinformation,  and  evaluate  their  performance  on  different  prediction  tasks.   Wedemonstrate that our models can outperform the state-of-the-art approach, whichis based on decision tree techniques, on both next non-terminal and next terminalprediction tasks by 3.8 points and 0.5 points respectively.  We believe that neuralnetwork techniques can play a transformative role in helping software developersmanage the growing complexity of software systems, and we see this work as afirst step in that direction.","xinw@eecs.berkeley.edu, liuchang@eecs.berkeley.edu, ricshin@berkeley.edu, jegonzal@berkeley.edu, dawnsong@cs.berkeley.edu","Chang Liu, Xin Wang, Richard Shin, Joseph E. Gonzalez, Dawn Song",berkeley.edu,"Deep learning, Applications",rJbPBt9lg,liu|neural_code_completion,Neural Code Completion,,Reject,https://openreview.net/forum?id=rJbPBt9lg&noteId=rJbPBt9lg,https://openreview.net/pdf?id=rJbPBt9lg
"One of the major goals in automated argumentation mining is to uncover the argument structure present in argumentative text. In order to determine this structure, one must understand how different individual components of the overall argument are linked. General consensus in this field dictates that the argument components form a hierarchy of persuasion, which manifests itself in a tree structure. This work provides the first neural network-based approach to argumentation mining, focusing on extracting links between argument components, with a secondary focus on classifying types of argument components. In order to solve this problem, we propose to use a modification of a Pointer Network architecture. A Pointer Network is appealing for this task for the following reasons: 1) It takes into account the sequential nature of argument components; 2) By construction, it enforces certain properties of the tree structure present in argument relations; 3) The hidden representations can be applied to auxiliary tasks. In order to extend the contribution of the original Pointer Network model, we construct a joint model that simultaneously attempts to learn the type of argument component, as well as continuing to predict links between argument components. The proposed model achieves state-of-the-art results on two separate evaluation corpora. Furthermore, our results show that optimizing for both tasks, as well as adding a fully-connected layer prior to recurrent neural network input, is crucial for high performance.","ppotash@cs.uml.edu, aromanov@cs.uml.edu, arum@cs.uml.edu","Peter Potash, Alexey Romanov, Anna Rumshisky","cs.uml.edu, csail.mit.edu",Natural language processing,B1KBHtcel,potash|heres_my_point_argumentation_mining_with_pointer_networks,Here's My Point: Argumentation Mining with Pointer Networks,We use a modified Pointer Network to predict 1) types of argument components; 2) links between argument components.,Reject,https://openreview.net/forum?id=B1KBHtcel&noteId=B1KBHtcel,https://openreview.net/pdf?id=B1KBHtcel
"Many kinds of variable-sized data we would like to model contain an internal hierarchical structure in the form of a tree, including source code, formal logical statements, and natural language sentences with parse trees. For such data it is natural to consider a model with matching computational structure. In this work, we introduce a variational autoencoder-based generative model for tree-structured data. We evaluate our model on a synthetic dataset, and a dataset with applications to automated theorem proving. By learning a latent representation over trees, our model can achieve similar test log likelihood to a standard autoregressive decoder, but with the number of sequentially dependent computations proportional to the depth of the tree instead of the number of nodes in the tree.","ricshin@cs.berkeley.edu, alemi@google.com, geoffreyi@google.com, vinyals@google.com","Richard Shin, Alexander A. Alemi, Geoffrey Irving, Oriol Vinyals","berkeley.edu, google.com",,Hy0L4t5el,shin|treestructured_variational_autoencoder,Tree-Structured Variational Autoencoder,,Reject,https://openreview.net/forum?id=Hy0L4t5el&noteId=Hy0L4t5el,https://openreview.net/pdf?id=Hy0L4t5el
